Unnamed: 0,question,querry
,Find all employees who are younger than 25 and work in the HR department.,SELECT name FROM employees WHERE department = 'HR' AND age < 25;
,Show the department with the highest average salary.,"SELECT department, AVG(salary) FROM employees GROUP BY department ORDER BY AVG(salary) DESC LIMIT 1;"
,List employees who have a salary higher than 20000 but less than 25000.,SELECT name FROM employees WHERE salary BETWEEN 20000 AND 25000;
,Find employees who are aged over 30 and belong to the IT department.,SELECT name FROM employees WHERE department = 'IT' AND age > 30;
,Show the total salary of employees in the IT department.,SELECT SUM(salary) FROM employees WHERE department = 'IT';
,List employees who earn the highest salary in the company.,SELECT * FROM employees ORDER BY salary DESC LIMIT 1;
,Show employees who earn more than the average salary but are less than 30 years old.,SELECT name FROM employees WHERE salary > (SELECT AVG(salary) FROM employees) AND age < 30;
,Find employees in the IT department who are younger than 30.,SELECT name FROM employees WHERE department = 'IT' AND age < 30;
,Show the name and department of the employee with the highest salary.,"SELECT name, department FROM employees ORDER BY salary DESC LIMIT 1;"
,How many employees are in the IT department with a salary higher than 25000?,SELECT COUNT(*) FROM employees WHERE department = 'IT' AND salary > 25000;
,List all employees aged between 25 and 30.,SELECT name FROM employees WHERE age BETWEEN 25 AND 30;
,Find employees in the Marketing department who earn less than 23000.,SELECT name FROM employees WHERE department = 'Marketing' AND salary < 23000;
,Show the employees who have the lowest salary in the company.,SELECT * FROM employees ORDER BY salary ASC LIMIT 1;
,Find all employees who have a salary above 27000.,SELECT name FROM employees WHERE salary > 27000;
,List employees in the HR department who are younger than 25.,SELECT name FROM employees WHERE department = 'HR' AND age < 25;
,Show the employees in the Finance department with a salary greater than 19000.,SELECT name FROM employees WHERE department = 'Finance' AND salary > 19000;
,List the names of employees who are over 30 years old.,SELECT name FROM employees WHERE age > 30;
,Find the department with the most number of employees.,"SELECT department, COUNT(*) FROM employees GROUP BY department ORDER BY COUNT(*) DESC LIMIT 1;"
,List all employees whose name ends with 'A'.,SELECT name FROM employees WHERE name LIKE '%A';
,Show the names of employees who earn less than 20000 but are older than 25.,SELECT name FROM employees WHERE salary < 20000 AND age > 25;
,Find employees in the IT department whose salary is above 25000.,SELECT name FROM employees WHERE department = 'IT' AND salary > 25000;
,How many employees in the HR department have a salary below 25000?,SELECT COUNT(*) FROM employees WHERE department = 'HR' AND salary < 25000;
,Find the employee(s) in the Marketing department who earns the lowest salary.,SELECT * FROM employees WHERE department = 'Marketing' ORDER BY salary ASC LIMIT 1;
,Show the names of employees who earn less than the average salary in the company.,SELECT name FROM employees WHERE salary < (SELECT AVG(salary) FROM employees);
,"Find employees who have the same salary as ""parimala"".",SELECT name FROM employees WHERE salary = (SELECT salary FROM employees WHERE name = 'parimala');
,List employees who are older than 30 and work in the HR department.,SELECT name FROM employees WHERE department = 'HR' AND age > 30;
,Show all employees who are younger than 30 and work in the IT department.,SELECT name FROM employees WHERE department = 'IT' AND age < 30;
,List employees who are in the Finance department and have a salary greater than 22000.,SELECT name FROM employees WHERE department = 'Finance' AND salary > 22000;
,Show the average salary for employees who are older than 30.,SELECT AVG(salary) FROM employees WHERE age > 30;
,Find all employees whose salary is greater than 25000 and are in the IT department.,SELECT name FROM employees WHERE department = 'IT' AND salary > 25000;
,How many employees are in the IT department?,SELECT COUNT(*) FROM employees WHERE department = 'IT';
,How many employees are earning exactly 20000 in salary?,SELECT COUNT(*) FROM employees WHERE salary = 20000;
,List employees who earn between 22000 and 30000.,SELECT name FROM employees WHERE salary BETWEEN 22000 AND 30000;
,Show the names of all employees in the Marketing department.,SELECT name FROM employees WHERE department = 'Marketing';
,How many employees in the IT department earn more than 28000?,SELECT COUNT(*) FROM employees WHERE department = 'IT' AND salary > 28000;
,Find the employee(s) with the lowest salary in the company.,SELECT * FROM employees ORDER BY salary ASC LIMIT 1;
,List employees who are 30 years or older.,SELECT name FROM employees WHERE age >= 30;
,How many employees in the Finance department earn less than 20000?,SELECT COUNT(*) FROM employees WHERE department = 'Finance' AND salary < 20000;
,Find the employee(s) who earn exactly 15000.,SELECT * FROM employees WHERE salary = 15000;
,Show all employees who have a salary greater than 22000.,SELECT name FROM employees WHERE salary > 22000;
,List the names of employees who work in departments other than IT.,SELECT name FROM employees WHERE department != 'IT';
,How many employees have an age of 25 or younger and a salary greater than 22000?,SELECT COUNT(*) FROM employees WHERE age <= 25 AND salary > 22000;
,Find the employee(s) who earn between 25000 and 27000.,SELECT * FROM employees WHERE salary BETWEEN 25000 AND 27000;
,How many employees work in the IT department and earn more than 25000?,SELECT COUNT(*) FROM employees WHERE department = 'IT' AND salary > 25000;
,List the names of employees who are older than 30 but earn less than 23000.,SELECT name FROM employees WHERE age > 30 AND salary < 23000;
,How many employees earn between 15000 and 20000?,SELECT COUNT(*) FROM employees WHERE salary BETWEEN 15000 AND 20000;
,Show the employees whose salary is higher than the average salary of the IT department.,SELECT name FROM employees WHERE salary > (SELECT AVG(salary) FROM employees WHERE department = 'IT');
,List employees whose name contains the letter 'A'.,SELECT name FROM employees WHERE name LIKE '%A%';
,How many employees have a salary of 27000 or more?,SELECT COUNT(*) FROM employees WHERE salary >= 27000;
,Find employees who have a salary between 15000 and 23000 but are older than 25.,SELECT name FROM employees WHERE salary BETWEEN 15000 AND 23000 AND age > 25;
,List the employees who are not in the HR department.,SELECT name FROM employees WHERE department != 'HR';
,Show the names of employees who have the same salary as 'parimala'.,SELECT name FROM employees WHERE salary = (SELECT salary FROM employees WHERE name = 'parimala');
,Find all employees in the Finance department who are younger than 30.,SELECT name FROM employees WHERE department = 'Finance' AND age < 30;
,How many employees in the company are earning less than 20000?,SELECT COUNT(*) FROM employees WHERE salary < 20000;
,List all employees in the Marketing department who are 28 years or older.,SELECT name FROM employees WHERE department = 'Marketing' AND age >= 28;
,Show the average salary of employees who are 30 years or older.,SELECT AVG(salary) FROM employees WHERE age >= 30;
,Find the name(s) of the youngest employee(s) in the company.,SELECT name FROM employees WHERE age = (SELECT MIN(age) FROM employees);
,How many employees in the IT department are older than 30?,SELECT COUNT(*) FROM employees WHERE department = 'IT' AND age > 30;
,List employees who are in the HR department and earn more than 20000.,SELECT name FROM employees WHERE department = 'HR' AND salary > 20000;
,Find employees who have a salary greater than 25000 but are younger than 30.,SELECT name FROM employees WHERE salary > 25000 AND age < 30;
,How many employees in the HR department have a salary greater than 22000?,SELECT COUNT(*) FROM employees WHERE department = 'HR' AND salary > 22000;
,Show the employees who have a salary lower than the average salary of employees aged 30 or older.,SELECT name FROM employees WHERE salary < (SELECT AVG(salary) FROM employees WHERE age >= 30);
,How many employees work in the Marketing department and earn less than 23000?,SELECT COUNT(*) FROM employees WHERE department = 'Marketing' AND salary < 23000;
,Find the total salary of all employees in the IT department who are 30 years old or older.,SELECT SUM(salary) FROM employees WHERE department = 'IT' AND age >= 30;
,How many employees have a salary greater than 27000 but are younger than 30?,SELECT COUNT(*) FROM employees WHERE salary > 27000 AND age < 30;
,List all employees aged 25 to 30 who earn more than 26000.,SELECT name FROM employees WHERE age BETWEEN 25 AND 30 AND salary > 26000;
,Show the names of employees in the Finance department who earn less than 20000.,SELECT name FROM employees WHERE department = 'Finance' AND salary < 20000;
,How many employees work in the HR department and earn between 15000 and 25000?,SELECT COUNT(*) FROM employees WHERE department = 'HR' AND salary BETWEEN 15000 AND 25000;
,Find employees who earn more than 30000.,SELECT name FROM employees WHERE salary > 30000;
,How many employees in the IT department earn less than 25000?,SELECT COUNT(*) FROM employees WHERE department = 'IT' AND salary < 25000;
,List all employees in the HR department who are older than 28.,SELECT name FROM employees WHERE department = 'HR' AND age > 28;
,Show the average salary of employees in the Marketing department.,SELECT AVG(salary) FROM employees WHERE department = 'Marketing';
,Find all employees who are younger than 30 and earn more than 27000.,SELECT name FROM employees WHERE age < 30 AND salary > 27000;
,List the names of employees in the IT department whose salary is higher than 29000.,SELECT name FROM employees WHERE department = 'IT' AND salary > 29000;
,Show all employees in the HR department who are younger than 25.,SELECT name FROM employees WHERE department = 'HR' AND age < 25;
,How many employees in the company are aged between 28 and 35?,SELECT COUNT(*) FROM employees WHERE age BETWEEN 28 AND 35;
,Find the employee(s) in the HR department with the highest salary.,SELECT * FROM employees WHERE department = 'HR' ORDER BY salary DESC LIMIT 1;
,List all employees who are older than 30 and earn more than 25000.,SELECT name FROM employees WHERE age > 30 AND salary > 25000;
,Show employees who work in the IT department and are older than 30 but earn less than 30000.,SELECT name FROM employees WHERE department = 'IT' AND age > 30 AND salary < 30000;
,How many employees have a salary greater than 22000 but are aged 30 or younger?,SELECT COUNT(*) FROM employees WHERE salary > 22000 AND age <= 30;
,Find the employee(s) who earn the lowest salary in the IT department.,SELECT * FROM employees WHERE department = 'IT' ORDER BY salary ASC LIMIT 1;
,List employees who have the same salary as 'abinaya'.,SELECT name FROM employees WHERE salary = (SELECT salary FROM employees WHERE name = 'abinaya');
,How many employees work in the Finance department and have an age greater than 30?,SELECT COUNT(*) FROM employees WHERE department = 'Finance' AND age > 30;
,Show the average salary of employees who are younger than 30.,SELECT AVG(salary) FROM employees WHERE age < 30;
,List all employees who are not in the Marketing department and earn more than 25000.,SELECT name FROM employees WHERE department != 'Marketing' AND salary > 25000;
,How many employees in the company have a salary of 20000?,SELECT COUNT(*) FROM employees WHERE salary = 20000;
,Show the total salary of employees in the Marketing department,SELECT SUM(salary) FROM employees WHERE department = 'Marketing';
,How many employees are in the HR department?,SELECT COUNT(*) FROM employees WHERE department = 'HR';
,List all employees who earn more than 25000 but less than 30000.,SELECT name FROM employees WHERE salary > 25000 AND salary < 30000;
,Find all employees who are aged 28 or older.,SELECT name FROM employees WHERE age >= 28;
,Show employees who work in departments other than Finance.,SELECT name FROM employees WHERE department != 'Finance';
,How many employees are in the IT department?,SELECT COUNT(*) FROM employees WHERE department = 'IT';
,List employees who earn less than 20000 and are in the HR department.,SELECT name FROM employees WHERE department = 'HR' AND salary < 20000;
,Show the name and salary of the highest-paid employee.,"SELECT name, salary FROM employees ORDER BY salary DESC LIMIT 1;"
,Find employees who earn more than 27000 and are aged 30 or older.,SELECT name FROM employees WHERE salary > 27000 AND age >= 30;
,How many employees are younger than 30 and earn more than 25000?,SELECT COUNT(*) FROM employees WHERE age < 30 AND salary > 25000;
,List employees in the Finance department who are younger than 30.,SELECT name FROM employees WHERE department = 'Finance' AND age < 30;
,Show employees who are between 25 and 30 years old and earn more than 23000.,SELECT name FROM employees WHERE age BETWEEN 25 AND 30 AND salary > 23000;
,Find the total number of employees in the company.,SELECT COUNT(*) FROM employees;
,List employees who work in Marketing and earn between 25000 and 27000.,SELECT name FROM employees WHERE department = 'Marketing' AND salary BETWEEN 25000 AND 27000;
,Show the average salary of employees in the HR department.,SELECT AVG(salary) FROM employees WHERE department = 'HR';
,Find all employees in the IT department who earn more than 28000.,SELECT name FROM employees WHERE department = 'IT' AND salary > 28000;
,How many employees work in the Finance department and earn less than 22000?,SELECT COUNT(*) FROM employees WHERE department = 'Finance' AND salary < 22000;
,List employees who earn exactly 25000.,SELECT name FROM employees WHERE salary = 25000;
,Show employees who are between 30 and 35 years old and earn less than 23000.,SELECT name FROM employees WHERE age BETWEEN 30 AND 35 AND salary < 23000;
,Find all employees who earn exactly 20000.,SELECT name FROM employees WHERE salary = 20000;
,List employees who are older than 30 and work in the IT department.,SELECT name FROM employees WHERE department = 'IT' AND age > 30;
,Show employees who earn less than 20000 and are aged 24.,SELECT name FROM employees WHERE salary < 20000 AND age = 24;
,How many employees are in the IT department and earn between 22000 and 30000?,SELECT COUNT(*) FROM employees WHERE department = 'IT' AND salary BETWEEN 22000 AND 30000;
,Find employees who are younger than 25 and earn less than 20000.,SELECT name FROM employees WHERE age < 25 AND salary < 20000;
,Show the names of employees who earn more than 30000.,SELECT name FROM employees WHERE salary > 30000;
,How many employees earn between 15000 and 22000?,SELECT COUNT(*) FROM employees WHERE salary BETWEEN 15000 AND 22000;
,List employees in the Marketing department who earn less than 27000.,SELECT name FROM employees WHERE department = 'Marketing' AND salary < 27000;
,Show the names of employees who work in Finance or HR.,"SELECT name FROM employees WHERE department IN ('Finance', 'HR');"
,How many employees are older than 30 and work in the IT department?,SELECT COUNT(*) FROM employees WHERE department = 'IT' AND age > 30;
,Find employees who earn less than 18000 and are in the HR department.,SELECT name FROM employees WHERE department = 'HR' AND salary < 18000;
,List all employees who earn more than 23000 and are older than 28.,SELECT name FROM employees WHERE salary > 23000 AND age > 28;
,How many employees are in the IT department and have an age less than 30?,SELECT COUNT(*) FROM employees WHERE department = 'IT' AND age < 30;
,Find the employees with the highest salary in each department.,"SELECT department, name, MAX(salary) FROM employees GROUP BY department;"
,Show employees who are in the HR department but do not earn more than 20000.,SELECT name FROM employees WHERE department = 'HR' AND salary <= 20000;
,How many employees earn less than 25000 and are aged 27 or older?,SELECT COUNT(*) FROM employees WHERE salary < 25000 AND age >= 27;
,List employees in the HR department who are younger than 28.,SELECT name FROM employees WHERE department = 'HR' AND age < 28;
,Find employees who are in the IT department and earn exactly 25000.,SELECT name FROM employees WHERE department = 'IT' AND salary = 25000;
,Show the total salary of employees in the Marketing department.,SELECT SUM(salary) FROM employees WHERE department = 'Marketing';
,How many employees earn more than 20000 but less than 27000?,SELECT COUNT(*) FROM employees WHERE salary > 20000 AND salary < 27000;
,List employees who are in the HR or Finance department and earn less than 20000.,"SELECT name FROM employees WHERE department IN ('HR', 'Finance') AND salary < 20000;"
,Show employees who are younger than 30 and earn more than 22000.,SELECT name FROM employees WHERE age < 30 AND salary > 22000;
,How many employees have a salary between 27000 and 31000?,SELECT COUNT(*) FROM employees WHERE salary BETWEEN 27000 AND 31000;
,Find the employee(s) who earn the least in the Marketing department.,SELECT * FROM employees WHERE department = 'Marketing' ORDER BY salary ASC LIMIT 1;
,List employees who are older than 30 and earn between 25000 and 28000.,SELECT name FROM employees WHERE age > 30 AND salary BETWEEN 25000 AND 28000;
,How many employees have a salary between 22000 and 25000?,SELECT COUNT(*) FROM employees WHERE salary BETWEEN 22000 AND 25000;
,List employees who earn more than 27000 and work in the HR department.,SELECT name FROM employees WHERE department = 'HR' AND salary > 27000;
,Show the names of employees who work in the Finance department and are younger than 30.,SELECT name FROM employees WHERE department = 'Finance' AND age < 30;
,Find the employee(s) with the highest salary in the HR department.,SELECT * FROM employees WHERE department = 'HR' ORDER BY salary DESC LIMIT 1;
,How many employees earn exactly 18000?,SELECT COUNT(*) FROM employees WHERE salary = 18000;
,Show the average salary of employees who are between 25 and 30 years old.,SELECT AVG(salary) FROM employees WHERE age BETWEEN 25 AND 30;
,List employees in the Marketing department who are 29 years old.,SELECT name FROM employees WHERE department = 'Marketing' AND age = 29;
,Find employees who earn more than 28000 and are aged 29 or older.,SELECT name FROM employees WHERE salary > 28000 AND age >= 29;
,How many employees earn less than 18000 and are in the IT department?,SELECT COUNT(*) FROM employees WHERE department = 'IT' AND salary < 18000;
,Show employees who are in the HR department and earn between 20000 and 23000.,SELECT name FROM employees WHERE department = 'HR' AND salary BETWEEN 20000 AND 23000;
,List employees in the IT department who are older than 25 and earn between 25000 and 30000.,SELECT name FROM employees WHERE department = 'IT' AND age > 25 AND salary BETWEEN 25000 AND 30000;
,How many employees work in the Finance department and earn exactly 19000?,SELECT COUNT(*) FROM employees WHERE department = 'Finance' AND salary = 19000;
,,
,How many employees are in the HR department?,SELECT COUNT(*) FROM employees WHERE department = 'HR';
,List all employees who earn more than 25000 but less than 30000.,SELECT name FROM employees WHERE salary > 25000 AND salary < 30000;
,Find all employees who are aged 28 or older.,SELECT name FROM employees WHERE age >= 28;
,Show employees who work in departments other than Finance.,SELECT name FROM employees WHERE department != 'Finance';
,How many employees are in the IT department?,SELECT COUNT(*) FROM employees WHERE department = 'IT';
,List employees who earn less than 20000 and are in the HR department.,SELECT name FROM employees WHERE department = 'HR' AND salary < 20000;
,Show the name and salary of the highest-paid employee.,"SELECT name, salary FROM employees ORDER BY salary DESC LIMIT 1;"
,Find employees who earn more than 27000 and are aged 30 or older.,SELECT name FROM employees WHERE salary > 27000 AND age >= 30;
,How many employees are younger than 30 and earn more than 25000?,SELECT COUNT(*) FROM employees WHERE age < 30 AND salary > 25000;
,List employees in the Finance department who are younger than 30.,SELECT name FROM employees WHERE department = 'Finance' AND age < 30;
,Show employees who are between 25 and 30 years old and earn more than 23000.,SELECT name FROM employees WHERE age BETWEEN 25 AND 30 AND salary > 23000;
,Find the total number of employees in the company.,SELECT COUNT(*) FROM employees;
,List employees who work in Marketing and earn between 25000 and 27000.,SELECT name FROM employees WHERE department = 'Marketing' AND salary BETWEEN 25000 AND 27000;
,Show the average salary of employees in the HR department.,SELECT AVG(salary) FROM employees WHERE department = 'HR';
,Find all employees in the IT department who earn more than 28000.,SELECT name FROM employees WHERE department = 'IT' AND salary > 28000;
,How many employees work in the Finance department and earn less than 22000?,SELECT COUNT(*) FROM employees WHERE department = 'Finance' AND salary < 22000;
,List employees who earn exactly 25000.,SELECT name FROM employees WHERE salary = 25000;
,Show employees who are between 30 and 35 years old and earn less than 23000.,SELECT name FROM employees WHERE age BETWEEN 30 AND 35 AND salary < 23000;
,Find all employees who earn exactly 20000.,SELECT name FROM employees WHERE salary = 20000;
,List employees who are older than 30 and work in the IT department.,SELECT name FROM employees WHERE department = 'IT' AND age > 30;
,Show employees who earn less than 20000 and are aged 24.,SELECT name FROM employees WHERE salary < 20000 AND age = 24;
,How many employees are in the IT department and earn between 22000 and 30000?,SELECT COUNT(*) FROM employees WHERE department = 'IT' AND salary BETWEEN 22000 AND 30000;
,Find employees who are younger than 25 and earn less than 20000.,SELECT name FROM employees WHERE age < 25 AND salary < 20000;
,Show the names of employees who earn more than 30000.,SELECT name FROM employees WHERE salary > 30000;
,How many employees earn between 15000 and 22000?,SELECT COUNT(*) FROM employees WHERE salary BETWEEN 15000 AND 22000;
,List employees in the Marketing department who earn less than 27000.,SELECT name FROM employees WHERE department = 'Marketing' AND salary < 27000;
,Show the names of employees who work in Finance or HR.,"SELECT name FROM employees WHERE department IN ('Finance', 'HR');"
,How many employees are older than 30 and work in the IT department?,SELECT COUNT(*) FROM employees WHERE department = 'IT' AND age > 30;
,Find employees who earn less than 18000 and are in the HR department.,SELECT name FROM employees WHERE department = 'HR' AND salary < 18000;
,List all employees who earn more than 23000 and are older than 28.,SELECT name FROM employees WHERE salary > 23000 AND age > 28;
,How many employees are in the IT department and have an age less than 30?,SELECT COUNT(*) FROM employees WHERE department = 'IT' AND age < 30;
,Find the employees with the highest salary in each department.,"SELECT department, name, MAX(salary) FROM employees GROUP BY department;"
,Show employees who are in the HR department but do not earn more than 20000.,SELECT name FROM employees WHERE department = 'HR' AND salary <= 20000;
,How many employees earn less than 25000 and are aged 27 or older?,SELECT COUNT(*) FROM employees WHERE salary < 25000 AND age >= 27;
,List employees in the HR department who are younger than 28.,SELECT name FROM employees WHERE department = 'HR' AND age < 28;
,Find employees who are in the IT department and earn exactly 25000.,SELECT name FROM employees WHERE department = 'IT' AND salary = 25000;
,Show the total salary of employees in the Marketing department.,SELECT SUM(salary) FROM employees WHERE department = 'Marketing';
,How many employees earn more than 20000 but less than 27000?,SELECT COUNT(*) FROM employees WHERE salary > 20000 AND salary < 27000;
,List employees who are in the HR or Finance department and earn less than 20000.,"SELECT name FROM employees WHERE department IN ('HR', 'Finance') AND salary < 20000;"
,Show employees who are younger than 30 and earn more than 22000.,SELECT name FROM employees WHERE age < 30 AND salary > 22000;
,How many employees have a salary between 27000 and 31000?,SELECT COUNT(*) FROM employees WHERE salary BETWEEN 27000 AND 31000;
,Find the employee(s) who earn the least in the Marketing department.,SELECT * FROM employees WHERE department = 'Marketing' ORDER BY salary ASC LIMIT 1;
,List employees who are older than 30 and earn between 25000 and 28000.,SELECT name FROM employees WHERE age > 30 AND salary BETWEEN 25000 AND 28000;
,How many employees have a salary between 22000 and 25000?,SELECT COUNT(*) FROM employees WHERE salary BETWEEN 22000 AND 25000;
,List employees who earn more than 27000 and work in the HR department.,SELECT name FROM employees WHERE department = 'HR' AND salary > 27000;
,Show the names of employees who work in the Finance department and are younger than 30.,SELECT name FROM employees WHERE department = 'Finance' AND age < 30;
,Find the employee(s) with the highest salary in the HR department.,SELECT * FROM employees WHERE department = 'HR' ORDER BY salary DESC LIMIT 1;
,How many employees earn exactly 18000?,SELECT COUNT(*) FROM employees WHERE salary = 18000;
,Show the average salary of employees who are between 25 and 30 years old.,SELECT AVG(salary) FROM employees WHERE age BETWEEN 25 AND 30;
,List employees in the Marketing department who are 29 years old.,SELECT name FROM employees WHERE department = 'Marketing' AND age = 29;
,Find employees who earn more than 28000 and are aged 29 or older.,SELECT name FROM employees WHERE salary > 28000 AND age >= 29;
,How many employees earn less than 18000 and are in the IT department?,SELECT COUNT(*) FROM employees WHERE department = 'IT' AND salary < 18000;
